Name,Address,Cuisine
Foodmandu Beverages,Naxal,Wines | Liquor
Freddo Cafe,Paknajol,Italian | Pizza
French Bakery,"Chhetrapati, Kathmandu",Continental | Bakery | Burger | Vegan
French House Restaurant,"Dhalko, Bishalnagar, Kathmandu",French & Asian
Friends Cafe & Bar,"Mandala Street, Thamel, Kathmandu",Middle Eastern
Genesis Cafe,"Panipokhari, Kathmandu",Burger | Multi Cuisine | MoMo | Burger
GG Machaan,"Jhamshikhel, Lalitpur",Multi Cuisine | MoMo | Nepali
Ghangri Cafe,"Jhamsikhel, Lalitpur",MoMo | Multi Cuisine
Gokarna House,"Chettrapati, Kathmandu",Pizza | Multi Cuisine | Italian
Green Leaves,Lazimpat,Indian | Multi Cuisine
Green Line Centre,"Durbarmarg, Kathmandu",Liquor | Wines | Beverages
Grill Me Cafe,Sanepa,American
Hearten Cafe,"New Baneshwor, Kathmandu, Central Region, Nepal, Kathmandu",Multi Cuisine
Hermann Helmers,"Sanepa, Lalitpur",Bakery | Cake
Home Chef,Bhaisepati,Multi Cuisine
Hungry Panda : Fresh Asian Fusion,"Jamal, Kathmandu",Fast Food | Asian
Hyderabad House,"Bhatbhateni, Kathmandu",Indian | Biryani
Ichiban,"Charkhal Road, Kathmandu",Asian | Multi Cuisine
Imago Dei,"Nag Pokhari, Kathmandu",Continental | Cake
Impasto Pizzeria,"KL Tower  Chabahil, Kathmandu",Pizza
Indreni Foodland,"New Baneshwor, Kathmandu",Bakery | Cake | Multi Cuisine
Indreni Foodland (Maharajgung),"Maharajgunj Chakrapath, Kathmandu",Multi Cuisine
Jhamel Beats,Jhamsikhel,Multi Cuisine
Kaffeine,"Durbar Marg, Kathmandu",Multi Cuisine | Fast Food
Keventers,"Durbar Marg, Kathmandu",Beverages | Milkshakes
Keventers - Labim Mall,Labim Mall,Beverages | Milkshakes
Keventers,Thamel,Beverages | Milkshakes
KFC,"Blue Bird Mall, Kathmandu",Fast Food
KFC : Boudha,"Boudha, Kathmandu",Fast Food
KFC : Durbar Marg,"Durbar Marg, Kathmandu",Fast Food
KFC : Labim,"Labim Mall, Lalitpur",Fast Food
KFC : Mahrajgunj,"Maharajgunj, Kathmandu",Fast Food
Kimchee Restaurant & Bar,"Boudha, Kathmandu",Asian | Korean
KKFC  - Maitidevi,Maitidevi,Fast Food
KKFC - People's Plaza,People's Plaza,Fast Food
Korea Pyongyang Arirang Restaurant,"Durbarmarg, Kathmandu",Asian | Korean
Koto (Pulchowk),"Pulchowk, Lalitpur",Asian | Japanese
Koto Bar (Durbarmarg),"Durbar Marg, Kathmandu",Asian | Japanese
KruaThai,"Naxal, Kathmandu",Thai | Asian
Kumari Restaurant & Bar,"Putalisadak, Kathmandu",Multi Cuisine
La Dolce Vita,"Thamel, Kathmandu",Italian | Pizza
Le Mirch,"Pulchowk, Labim Mall",Indian
Le Trio,"Jhamsikhel, Lalitpur",MoMo | Multi Cuisine
Le Trio (Durbar Marg),"Durbar Marg, Kathmandu",Multi Cuisine | MoMo
Level 3,Labim Mall,Asian | Middle Eastern
Little Italy Ristorante :: Bar,"Ghantaghar, Kathmandu",Vegetarian | Italian | Pizza
Malta Newari Kitchen,"Khursanitar Marga, Kathmandu, Central Region, Nepal, Kathmandu",Newari
Mama's Curries,"Jhamshikel, Lalitpur",Indian | Biryani
Mandala Bakery,"Balaju, Kathmandu",Bakery
Mango Chili,Labim Mall,Thai | Asian
Manny's Eatry And Tapas Bar,"Jawalakhel, Lalitpur",Continental
Masala Cottage,"Teku, Kathmandu",Indian
Mauri Restaurant,"Lazimpat , Kathmandu",Pizza
Mezze By Roadhouse,"Durbar Marg, Kathmandu",Italian | Pizza
Mike's Breakfast,"Lazimpat, Kathmandu, Kathmandu",Mexican
Mirage Lords Inn,"Battisputali, Kathmandu",Biryani | Indian
Momo Queen,"Lazimpat, Kathmandu",MoMo
Moti Mahal Delux - Veg Indian Cuisine,"Durbarmarg, Kathmandu",Asian
Mughal Empire,"Lazimpat, Kathmandu",Indian | Biryani
Nanglo Cafe and Pub,"kamaladi , Kathmandu",Continental
Nepal Dairy :: Nd's,Mahabaudha,Fast Food
Octave Lounge & Bar,"Durbarmarg, Kathmandu",Japanese | Continental
Om Tandoori,Kalopul,Fast Food | Indian
Opium : Restaurant & Bar,"Durabmarg, Kathmandu",MoMo | Multi Cuisine
OR2K,"Thamel, Kathmandu",Vegetarian | Middle Eastern | Vegan
Oriental Kitchen,"Baluwatar, Kathmandu",Continental | Chinese | Indian
Otafuku Okonomiyaki,"Kupondole height, lalitpur, Lalitpur",Japanese | Asian
Pepe Pizza,"Maharajgunj, Kathmandu",Italian | Pizza
Pepe Pizza,"Balaju, Kathmandu",Pizza | Italian
Pepe Pizza,"Tripureshwor at United World Trade Centre ground floor, Kathmandu",Pizza | Italian | Fast Food
Pepe Pizza :: Anamnagar,"Anamnagar, Kathmandu",Italian | Pizza
Phalano Coffee Ghar,"Sajha Line, Pulchowk, Lalitpur",Multi Cuisine
Pho99,"Thadhodhunga, Lalitpur",Vietnamese | Asian
Pizza Fire,Maitidevi,Pizza
Pizza Hut,Durbar Marg,Fast Food | Pizza
Pizza Hut: Bluebird,Blue Bird Mall,Pizza | Fast Food
Pizza King,"Thamel, Kathmandu",Fast Food | Italian | Pizza
Pizzon Pizza,"Amrit Marg, Thamel (Manag Plaza )",Fast Food | Italian
Places Restaurant and Bar,"Thamel Saat Ghumti, Saat Ghumti Marg, Kathmandu, Nepal, Kathmandu",Vegetarian | Vegan | Multi Cuisine | Organic
Prazada,Bhatbhateni,Multi Cuisine | Pizza
Quick Bite,"Mangalbazar, Lalitpur",Fast Food
Rameshwaram Sweets & Snacks,"Newroad, Kathmandu",Indian | Vegetarian | Sweets
Reef Restaurant Lounge & Bar,"Thamel, Kathmandu",Multi Cuisine | Continental
Roadhouse Cafe,"Jhamshikhel, Lalitpur",Italian | Pizza
Roadhouse Cafe,"Bhatbhateni, Kathmandu",Italian | Pizza
Roadhouse Cafe,"Boudha, Kathmandu",Italian | Pizza
Roadhouse Cafe,"Thamel, Kathmandu",Italian | Pizza
Roadhouse Pizzeria,"LABIM Mall, Pulchowk, Lalitpur",Italian | Pizza
Royal Thai Restaurant & Bar,"New Baneshwor Chowk, Kathmandu",Thai | Asian
Rum Doodle Bar and Restaurant,"Thamel, Kathmandu",Multi Cuisine
Sajan Goth,"Tripureshwor, Kathmandu",Indian | Vegetarian | Sweets
Sajan Goth :: Kamaladi,"Kamaladi, Kathmandu",Vegetarian | Indian | Sweets
Sandwich Point -Labim Mall,Labim Mall,American
Sandwich Point  - Thamel,Thamel,American
Sangam Sweets,"Kamaladi, Kathmandu",Vegetarian | Indian | Sweets
Sapporo Japanese Restaurant,"Baluwatar, Opposite to Russian Embassy, Kathmandu",Japanese | Asian
Sara Bakery,"Jawalakhel, Lalitpur",Bakery | Cake
Sarangi,"Thamel, Kathmandu",Vegetarian | Vegan
Seoul Dining & Lounge Bar,"Darbar Marg, Kathmandu",Korean
Serene Cafe,Kalanki,Nepali
Shafqat Halal,"J.P. Road, Thamel",Halal | Tibetian
Shangri-la Villa Everest,"Thamel, Kathmandu, Kathmandu",Asian | Korean
Sinka- have it fresh,"Mahalaxmisthan Road, Patan, Lalitpur",MoMo
Slices Pizza,"Kalanki, Kathmandu",Pizza | Italian
Smokin Joes Fresh Pizzas,"Thamel Marga, Kathmandu, Kathmandu",Pizza
Southern Comfort,"Jhamsikhel, Lalitpur",American
Spice Village,"Little Italy Kathmandu, Kamaladi, Kamaladi Road, Kathmandu, Nepal, Kathmandu",Indian
Sun Rise Food,"Kalanki, Kathmandu",Fast Food
Supero Pizza & Bakery,Dhumbarahi,Italian | Pizza
Taas & Sekuwa Mahal,"Teku, Kathmandu",Multi Cuisine | Nepali
Tamarind,"Jhamsikhel, Lalitpur",Continental | Multi Cuisine
Tasneem's Kings Kitchen,"Damkal Chowk, Lalitpur",Indian | Halal | Biryani
Tawa,"Jain Bhawan, Kamalpokhari",Multi Cuisine
Taza Restaurant,"Hariharbhawan, Lalitpur",Middle Eastern
Taza Restaurant - Labim Mall,Labim Mall,Middle Eastern
Thai Ghar,"Jhamshikhel, opposite of MOKSHA, Lalitpur",Thai | Asian
Thamel House Restaurant,"Thamel, Kathmandu",Nepali | Newari
The Full Moon Pizzeria Cafe,Dhumbarahi,Italian | Pizza
The Kebab Village,"Naxal , Tangal, Kathmandu",Multi Cuisine
The Lazy Gringo,"Jawalakhel, Lalitpur, Lalitpur",Mexican
The Lunch Box,"Kupundole, Lalitpur",Burger | Fast Food | American
The Ship,"Amrit Marga, Thamel, Behind Amrit Schience Campus, Kathmandu",Multi Cuisine
The Village Cafe,"Pulchowk, Lalitpur",Nepali | Newari
The Workshop Eatery,"Bakhundole, Lalitpur",Burger | Mexican | American
Third Eye Bakery,"Thamel, Kathmandu",Bakery | Cake
Third Eye Restaurant,"Thamel, Kathmandu",Halal | Indian
Thistle Triangle,"Maitighar, Kathmandu",Continental
Times Square Restaurant,Baluwatar,Multi Cuisine
Timmur,"Kupondole height, Lalitpur",Indian | Multi Cuisine
ToyoKaraage,"Maharajgunj, Opposite to American Embassy , Kathmandu",Fast Food
Trendy Cafe,"Baluwatar, Kathmandu",Multi Cuisine
Trisara,"Lazimpat, Kathmandu",Continental
Urban 2 Go,"Blubird Mall, Tripureswor, Kathmandu",Burger | Fast Food | American
Urutora Restaurant,"Baluwatar, Kathmandu",Japanese
Utopia,"Ekantakuna, Lalitpur",Italian
Valley Xpress,Balaju,Fast Food
Valley Xpress,Basantapur,Fast Food
Valley Xpress,Maharajgunj,Fast Food
Ventures Cafe,"Baluwatar, Kathmandu Nepal, Kathmandu",Multi Cuisine
Vesper Cafe and Restaurant,"Pulchowk, Lalitpur",Pizza | Italian
Vienna Bakery,Jhamsikhel,Bakery
Viet Ngon Saigon Pho,"Lazimpat, Kathmandu",Vietnamese | Asian
Vino Bistro,"Lazimpat, Kathmandu",Continental
Vootoo,"Lazimpat, Kathmandu",Newari
Wicked Spoon,"Jhamshikhel, Lalitpur",Multi Cuisine | American | Burger | Pizza
Wunjala Moskva,"Naxal, Kathmandu",Continental | Newari | Russian
Yellow Planet Food World,"Balkhu Chowk, way to Kalimati, Kathmandu","Italian, Chinese, Indian, Swedish, Continental etc ."
Yes Cafe -(Malika Thakali),"Kichapokhari, Kathmandu",Multi Cuisine
Yin Yang Restaurant & Bar,Thai | Halal | Asian,"Basbari, Kathmandu"
Zen Bistro & Cafe,Thai | Asian,Go to old website
